n;k;algorithm;bush;time;success
5;4;bfs;2;0.0008;True
5;4;bfs;2;0.0003;True
5;4;bfs;2;0.0003;True
5;4;bfs;2;0.0002;True
5;4;bfs;2;0.0001;True
5;4;bfs;2;0.0004;True
5;4;bfs;2;0.0006;True
5;4;bfs;2;0.0;True
5;4;bfs;2;0.0001;True
5;4;bfs;2;0.0004;True
5;4;bfs;2;0.0;True
5;4;bfs;2;0.0;True
5;4;bfs;2;0.0001;True
5;4;bfs;2;0.0003;True
5;4;bfs;2;0.0001;True
5;4;bfs;2;0.0004;True
5;4;bfs;2;0.0001;True
5;4;bfs;2;0.0001;True
5;4;bfs;2;0.0;True
5;4;bfs;2;0.0003;True
5;4;bfs;2;0.0002;True
5;4;bfs;2;0.0;True
5;4;bfs;2;0.0004;True
5;4;bfs;2;0.0001;True
5;4;bfs;2;0.0001;True
5;4;bfs;2;0.0;True
5;4;bfs;2;0.0;True
5;4;bfs;2;0.0003;True
5;4;bfs;2;0.0001;True
5;4;bfs;2;0.0004;True
5;4;bfs;2;0.0004;True
5;4;bfs;2;0.0;True
5;4;bfs;2;0.0005;True
5;4;bfs;2;0.0001;True
5;4;bfs;2;0.0002;True
5;4;bfs;2;0.0002;True
5;4;bfs;2;0.0;True
5;4;bfs;2;0.0004;True
5;4;bfs;2;0.0002;True
5;4;bfs;2;0.0;True
5;4;bfs;2;0.0002;True
5;4;bfs;2;0.0;True
5;4;bfs;2;0.0003;True
5;4;bfs;2;0.0004;True
5;4;bfs;2;0.0;True
5;4;bfs;2;0.0002;True
5;4;bfs;2;0.0001;True
5;4;bfs;2;0.0;True
5;4;bfs;2;0.0001;True
5;4;bfs;2;0.0002;True
5;4;bfs;2;0.0003;True
5;4;bfs;2;0.0001;True
5;4;bfs;2;0.0;True
5;4;bfs;2;0.0003;True
5;4;bfs;2;0.0;True
5;4;bfs;2;0.0;True
5;4;bfs;2;0.0003;True
5;4;bfs;2;0.0001;True
5;4;bfs;2;0.0002;True
5;4;bfs;2;0.0005;True
5;4;bfs;2;0.0002;True
5;4;bfs;2;0.0003;True
5;4;bfs;2;0.0003;True
5;4;bfs;2;0.0004;True
5;4;bfs;2;0.0001;True
5;4;bfs;2;0.0;True
5;4;bfs;2;0.0002;True
5;4;bfs;2;0.001;True
5;4;bfs;2;0.0004;True
5;4;bfs;2;0.0001;True
5;4;bfs;2;0.0001;True
5;4;bfs;2;0.0004;True
